,组合,指数
2011-12-15,-0.01898592688134149,-0.027427999999999998
2011-12-16,0.027957523450078403,0.029325
2011-12-19,0.00060332997968171,0.0022270000000000002
2011-12-20,-0.001793082777795773,-0.003027
2011-12-21,-0.022396240866876305,-0.023959
2011-12-22,-0.009393630748994132,-0.013068
2011-12-23,0.007589777773897799,0.008690999999999999
2011-12-26,-0.006838143664137486,-0.005807
2011-12-27,-0.028248728616370733,-0.025369000000000003
2011-12-28,-0.005994347828488289,-0.005195
2011-12-29,0.00111713099984767,-6.8e-05
2011-12-30,0.018546099532850132,0.018581
2012-01-04,-0.027030430309608167,-0.022818
2012-01-05,-0.040871047189028786,-0.036923
2012-01-06,0.005328371237945051,0.004286
2012-01-09,0.04024121648331325,0.040601000000000005
2012-01-10,0.03678863862769477,0.041235999999999995
2012-01-11,-0.0005991428939582371,0.000404
2012-01-12,-0.006351752304521785,-0.000278
2012-01-13,-0.0361328155760301,-0.033508
2012-01-16,-0.033735285031220474,-0.031896
2012-01-17,0.05453914660595194,0.055684
2012-01-18,-0.02988170195739903,-0.020282
2012-01-19,0.010836888984461446,0.010165
2012-01-20,0.013362546697184063,0.013709
2012-01-30,-0.005680475053028156,-0.006995
2012-01-31,0.0017180465634438749,0.000633
2012-02-01,-0.005950505753462898,-0.008578
2012-02-02,0.01912322010465473,0.018956999999999998
2012-02-03,0.013912447360211466,0.016495
2012-02-06,0.007941007036833758,0.008677
2012-02-07,-0.017468136640518942,-0.016284
2012-02-08,0.026404138812009315,0.026418
2012-02-09,0.005071823345246029,0.0070599999999999994
2012-02-10,0.004961338881890764,0.005298000000000001
2012-02-13,0.008693818252631713,0.009072
2012-02-14,-0.00046399926645313,0.001349
2012-02-15,0.013537819675742968,0.015186
2012-02-16,-0.000665343455352851,-0.000265
2012-02-17,-0.002389496006948377,-0.003326
2012-02-20,0.002092711025253546,0.002567
2012-02-21,0.011360395595650274,0.012265999999999999
2012-02-22,0.019049435107001408,0.01954
2012-02-23,0.0060714555196648146,0.003221
2012-02-24,0.014847758421421052,0.015114
2012-02-27,0.000943981595107779,0.001997
2012-02-28,-0.001514088595536589,-0.00498
2012-02-29,-0.016706336187678694,-0.013198000000000001
2012-03-01,0.006158941898873449,0.005284
2012-03-02,0.021987194722692397,0.021192000000000003
2012-03-05,0.003669180156075757,0.001044
2012-03-06,-0.008303305580282028,-0.00995
2012-03-07,-0.00594758112012117,-0.0074129999999999995
2012-03-08,0.017321130173566512,0.015838
2012-03-09,0.013109418098870671,0.014843
2012-03-12,0.00587767910785475,0.00598
2012-03-13,0.00979206431855406,0.01006
2012-03-14,-0.04151969636823017,-0.044947
2012-03-15,-0.003186859465223457,-0.012132
2012-03-16,0.02502615312857337,0.026458
2012-03-19,0.012560335979506343,0.011377
2012-03-20,-0.021446467417525428,-0.02178
2012-03-21,0.001859100044876438,0.003674
2012-03-22,-0.001889131780384745,-0.0046960000000000005
2012-03-23,-0.01833854500068044,-0.019308000000000002
2012-03-26,-0.00211226090126404,-0.001049
2012-03-27,-0.00116533963749299,-0.003656
2012-03-28,-0.044026096006478,-0.044587
2012-03-29,-0.01356390697172305,-0.018425
2012-03-30,-0.004042082821238191,-0.0025819999999999997
2012-04-05,0.029172994857594725,0.033567
2012-04-06,0.00688999167755866,0.006364999999999999
2012-04-09,-0.0142787933952494,-0.011568
2012-04-10,0.009224253240896374,0.011707
2012-04-11,0.007387428133873275,0.0034999999999999996
2012-04-12,0.02228255325081752,0.020729
2012-04-13,0.007285864238726125,0.00951
2012-04-16,0.003119073797929639,0.0028439999999999997
2012-04-17,-0.01582879525193781,-0.014632000000000001
2012-04-18,0.026426063891208385,0.022708
2012-04-19,-0.002880444542352922,-0.0025080000000000002
2012-04-20,0.009848595769868853,0.008546
2012-04-23,-0.011591028039812823,-0.011988
2012-04-24,-0.000157492775201273,-0.006821000000000001
2012-04-25,0.015142392165084173,0.014323999999999998
2012-04-26,-0.004583231447409575,-0.005078
2012-04-27,-0.006802353384845361,-0.009565
2012-05-02,0.018206944363331038,0.014632000000000001
2012-05-03,0.010704618504119967,0.004184
2012-05-04,0.008893028627435795,0.006478
2012-05-07,0.0131907198297887,0.007065
2012-05-08,-0.003478874850685209,-0.000286
2012-05-09,-0.019968059741948815,-0.017445
2012-05-10,0.006715373295853144,0.003675
2012-05-11,-0.002473186321926501,-0.00422
2012-05-14,0.0007555763053261879,-0.001423
2012-05-15,-0.000446409419152638,-0.001136
2012-05-16,-0.009763208912747956,-0.012297
2012-05-17,0.013335942373777998,0.014718
2012-05-18,-0.015210985527941423,-0.015704
2012-05-21,-0.002236601150171324,-0.0006320000000000001
2012-05-22,0.01791681754156493,0.015741
2012-05-23,0.0006679817951984459,-0.000576
2012-05-24,-0.007487715951224105,-0.008310999999999999
2012-05-25,-0.013812772361727399,-0.011576
2012-05-28,0.00983327782629817,0.014287000000000001
2012-05-29,0.014953780570983843,0.015789
2012-05-30,0.004239113558770491,0.0017460000000000002
2012-05-31,0.007069075514808398,0.000366
2012-06-01,-0.001153214243662881,-0.002439
2012-06-04,-0.026520990586835658,-0.03275
2012-06-05,0.000943370566008905,-0.001158
2012-06-06,-0.007308454851025381,-0.004824
2012-06-07,-0.0058660775912551255,-0.005285
2012-06-08,-0.000428429052399148,-0.004741
2012-06-11,0.01905467114799042,0.018561
2012-06-12,-0.000691179709198408,-0.006039
2012-06-13,0.01890340281289604,0.018425
2012-06-14,-0.0035864038780590852,-0.006032999999999999
2012-06-15,0.001778072345018033,-0.001016
2012-06-18,0.014624995698250487,0.009793
2012-06-19,-0.00357954458808607,-0.007265000000000001
2012-06-20,-0.0039424937559263675,-0.005978
2012-06-21,-0.014504196915247404,-0.012445999999999999
2012-06-25,-0.020616789241993838,-0.027214000000000002
2012-06-26,-0.00221001114657815,-0.0009
2012-06-27,0.001700115454359441,-0.003888
2012-06-28,-0.00797248964165953,-0.013975
2012-06-29,0.0230151234381446,0.012587
2012-07-02,0.017681337117313234,0.011103
